event,upg_users,upg_reach_pct,oth_users,oth_reach_pct,lift_reach,upg_per_user,oth_per_user,lift_freq,total_count,is_leak_candidate
agent_tool_call_get_script_tool,78,24.15,358,2.08,11.56,3.04,0.06,46.75,2087,False
agent_tool_call_create_edges_tool,109,33.75,504,2.93,11.49,1.08,0.06,16.82,1443,False
files_download,70,21.67,336,1.95,11.05,3.67,0.08,47.07,2508,False
agent_tool_call_get_constants_tool,25,7.74,122,0.71,10.79,0.11,0.01,9.36,219,False
files_delete,48,14.86,238,1.38,10.68,0.75,0.05,14.61,1109,False
referral_credits_awarded,14,4.33,69,0.4,10.58,0.23,0.01,17.91,274,False
agent_ask_ai_rejected,10,3.1,49,0.28,10.54,0.03,0.0,7.25,77,False
agent_tool_call_list_environment_packages_tool,124,38.39,638,3.71,10.34,6.34,0.15,41.07,4692,False
block_copy,48,14.86,248,1.44,10.25,0.37,0.05,7.95,894,False
copied_promo_code,40,12.38,207,1.2,10.22,0.19,0.02,11.12,332,True
agent_tool_call_update_script_content_tool,81,25.08,424,2.46,10.15,8.22,0.2,40.48,6132,False
block_rename,33,10.22,172,1.0,10.14,0.89,0.08,10.66,1712,False
agent_tool_call_add_connection_to_canvas_tool,2,0.62,9,0.05,10.1,0.01,0.0,3.0,26,False
notebook_import,16,4.95,83,0.48,10.09,0.26,0.02,12.57,419,False
agent_tool_call_create_script_tool,77,23.84,406,2.36,10.07,0.46,0.03,13.89,700,False
notebook_deployment_created,104,32.2,552,3.21,10.02,1.18,0.07,16.69,1582,False
agent_tool_call_apply_script_template_tool,77,23.84,408,2.37,10.02,0.59,0.03,16.8,781,False
credits_below_1,112,34.67,603,3.5,9.88,10.04,0.85,11.79,17884,False
canvas_rename,3,0.93,15,0.09,9.67,0.02,0.0,10.76,32,False
stop_block,60,18.58,332,1.93,9.59,1.19,0.09,13.57,1872,False
addon_credits_used,115,35.6,670,3.89,9.13,226.01,11.58,19.51,272411,False
agent_upload_files,96,29.72,591,3.43,8.64,1.23,0.09,13.99,1899,False
run_from_block,7,2.17,42,0.24,8.57,0.06,0.02,2.58,401,False
app_create,2,0.62,11,0.06,8.52,0.01,0.0,2.8,29,False
agent_tool_call_delete_block_tool,161,49.85,1008,5.85,8.5,4.85,0.23,21.1,5509,False
toast_notification_shown,61,18.89,381,2.21,8.5,2.2,0.11,20.34,2558,False
credits_below_2,115,35.6,720,4.18,8.5,10.46,1.04,10.05,21285,False
files_update_lazy_load,63,19.5,399,2.32,8.38,0.33,0.04,8.36,767,False
invited_user_created,9,2.79,56,0.33,8.34,0.04,0.0,6.95,98,False
api_undeploy,1,0.31,5,0.03,8.19,0.01,0.0,5.18,20,False
app_unpublish,1,0.31,5,0.03,8.19,0.01,0.0,7.15,19,False
block_output_copy,86,26.63,569,3.3,8.04,2.89,0.23,12.28,4972,False
agent_tool_call_get_connections_tool,18,5.57,121,0.7,7.83,0.08,0.01,8.36,184,False
canvas_publish_to_community,38,11.76,259,1.5,7.78,0.24,0.02,11.52,412,False
clicked_upgrade,136,42.11,933,5.42,7.76,0.64,0.07,9.5,1360,True
project_delete,23,7.12,158,0.92,7.69,0.12,0.01,8.48,269,False
block_output_download,27,8.36,186,1.08,7.68,0.54,0.04,15.0,781,False
files_create_folder,19,5.88,131,0.76,7.64,0.15,0.02,9.13,306,False
canvas_share,23,7.12,160,0.93,7.59,0.28,0.02,12.03,484,False
notebook_split_screen,40,12.38,283,1.64,7.49,0.26,0.03,7.95,632,False
api_deploy,3,0.93,20,0.12,7.44,0.24,0.02,11.14,424,False
seats_exceeded_members_warning,2,0.62,13,0.08,7.36,0.02,0.0,6.42,32,False
resource_shared,17,5.26,122,0.71,7.34,0.24,0.02,13.16,373,False
agent_open_error_assist,94,29.1,698,4.05,7.16,1.38,0.11,12.76,2294,False
app_delete_page,1,0.31,6,0.03,7.13,0.0,0.0,2.59,11,False
claim_free_offer_clicked,113,34.98,876,5.09,6.86,0.54,0.06,8.41,1269,True
asset_create_connection,7,2.17,53,0.31,6.85,0.04,0.01,6.01,114,False
canvas_delete,33,10.22,260,1.51,6.73,0.23,0.02,10.01,459,False
agent_ask_ai_accepted,38,11.76,304,1.77,6.63,0.72,0.05,14.54,1076,False
link_clicked,121,37.46,975,5.66,6.61,2.19,0.17,12.69,3655,False
contact_form_submitted,7,2.17,55,0.32,6.61,0.02,0.0,5.19,65,False
agent_ask_ai_open,73,22.6,595,3.46,6.52,1.07,0.08,12.57,1798,False
folder_open,7,2.17,56,0.33,6.49,0.13,0.01,10.14,241,False
app_publish,1,0.31,7,0.04,6.31,0.02,0.0,6.72,30,False
asset_share,1,0.31,7,0.04,6.31,0.0,0.0,2.41,13,False
app_create_page,1,0.31,7,0.04,6.31,0.0,0.0,2.33,14,False
credits_below_3,122,37.77,1032,5.99,6.29,12.0,1.7,7.08,33061,False
$rageclick,7,2.17,58,0.34,6.28,0.03,0.0,5.39,84,False
agent_accept_suggestion,136,42.11,1157,6.72,6.26,2.01,0.13,15.23,2904,False
folder_create,10,3.1,85,0.49,6.17,0.04,0.01,5.96,105,False
referral_link_copied,22,6.81,189,1.1,6.16,0.11,0.02,5.53,358,False
agent_tool_call_get_canvas_summary_tool,141,43.65,1245,7.23,6.03,14.34,0.86,16.61,19483,False
block_delete,97,30.03,876,5.09,5.89,5.48,0.35,15.61,7802,False
block_open_compute_settings,23,7.12,208,1.21,5.85,0.34,0.05,7.04,928,False
files_upload,147,45.51,1342,7.79,5.83,2.52,0.21,12.19,4357,False
agent_voice_to_text,4,1.24,36,0.21,5.7,0.02,0.0,4.92,81,False
deployment_limit_modal,1,0.31,8,0.05,5.66,0.0,0.0,2.5,12,False
edge_delete,23,7.12,220,1.28,5.54,0.56,0.08,6.66,1615,False
notebook_view_canvas_toggle,173,53.56,1665,9.67,5.53,4.5,0.45,9.87,9280,False
agent_tool_call_run_block_tool,209,64.71,2028,11.78,5.49,28.89,1.74,16.62,39245,False
agent_surprise_me,26,8.05,257,1.49,5.36,0.14,0.02,6.65,382,False
referral_modal_open,157,48.61,1604,9.32,5.21,0.92,0.13,6.82,2594,False
$autocapture,140,43.34,1501,8.72,4.97,5.81,0.46,12.51,9852,False
edge_create,20,6.19,220,1.28,4.82,0.96,0.16,5.92,3078,False
credits_below_4,124,38.39,1370,7.96,4.82,12.08,2.97,4.06,55106,False
agent_tool_call_get_variable_preview_tool,224,69.35,2510,14.58,4.75,50.25,1.65,30.52,44560,False
agent_message,222,68.73,2493,14.48,4.74,14.02,0.61,22.79,15104,False
quickstart_upload_file,50,15.48,569,3.3,4.67,0.36,0.05,7.27,952,False
fullscreen_preview_input,4,1.24,46,0.27,4.5,0.17,0.02,7.25,453,False
run_block,142,43.96,1787,10.38,4.23,12.59,1.87,6.73,36254,False
agent_tool_call_refactor_block_tool,235,72.76,2988,17.35,4.19,31.65,1.65,19.12,38706,False
run_all_blocks,129,39.94,1651,9.59,4.16,2.79,0.39,7.09,7655,False
fullscreen_preview_output,6,1.86,77,0.45,4.08,0.35,0.08,4.15,1538,False
agent_tool_call_get_block_tool,244,75.54,3279,19.04,3.97,92.68,3.64,25.46,92596,False
button_clicked,15,4.64,203,1.18,3.91,0.32,0.03,11.79,553,False
agent_tool_call_create_block_tool,247,76.47,3386,19.67,3.89,44.93,3.03,14.8,66758,False
run_upto_block,4,1.24,54,0.31,3.86,0.16,0.03,4.7,628,False
notebook_onboarding_tour_finished,231,71.52,3310,19.22,3.72,0.81,0.2,4.03,3714,False
canvas_open,15,4.64,215,1.25,3.7,0.31,0.05,5.79,1006,False
agent_tool_call_finish_ticket_tool,253,78.33,3663,21.27,3.68,22.13,1.49,14.89,32720,False
block_create,138,42.72,2009,11.67,3.66,4.5,0.72,6.24,13867,False
notebook_onboarding_tour_step,233,72.14,3433,19.94,3.62,2.35,0.55,4.3,10158,False
notebook_onboarding_tour_started,233,72.14,3433,19.94,3.62,0.85,0.22,3.86,4047,False
canvas_create,157,48.61,2334,13.56,3.58,0.93,0.18,5.23,3354,False
layer_rename,1,0.31,14,0.08,3.5,0.0,0.01,0.62,97,False
agent_worker_created,257,79.57,3945,22.91,3.47,26.1,1.55,16.8,35159,False
layer_create,7,2.17,108,0.63,3.42,0.03,0.01,2.36,250,False
clone_gallery_canvas,6,1.86,95,0.55,3.32,0.02,0.01,2.95,122,False
agent_open,20,6.19,330,1.92,3.22,0.33,0.04,8.27,767,False
$ai_generation,271,83.9,4752,27.6,3.04,401.74,24.4,16.47,549818,False
layer_delete,2,0.62,35,0.2,2.95,0.01,0.01,1.55,135,False
agent_new_chat,236,73.07,4325,25.12,2.91,6.17,0.77,7.97,15319,False
$exception,248,76.78,4656,27.04,2.84,153.54,17.33,8.86,347985,False
credits_used,272,84.21,5154,29.93,2.81,662.32,41.87,15.82,934821,False
fullscreen_close,16,4.95,303,1.76,2.8,2.91,0.61,4.79,11377,False
requirements_build,1,0.31,18,0.1,2.79,0.0,0.01,0.49,129,False
quickstart_add_dataset,45,13.93,865,5.02,2.77,0.21,0.06,3.49,1112,False
agent_start_from_prompt,144,44.58,2860,16.61,2.68,1.12,0.21,5.2,4057,False
fullscreen_open,15,4.64,309,1.79,2.58,2.93,0.6,4.85,11351,False
promo_code_redeemed,76,23.53,1607,9.33,2.52,0.25,0.1,2.65,1718,True
agent_suprise_me,4,1.24,96,0.56,2.2,0.11,0.01,11.98,175,False
billing_info,2,0.62,48,0.28,2.18,0.19,0.01,16.14,242,True
sign_in,300,92.88,7443,43.23,2.15,15.66,1.58,9.89,32318,False
$set,293,90.71,7300,42.4,2.14,14.09,1.43,9.84,29188,False
block_resize,14,4.33,349,2.03,2.13,0.77,0.16,4.94,2920,False
$pageview,291,90.09,7438,43.2,2.09,18.77,1.84,10.19,37772,False
work_email_bonus_credits_received,15,4.64,383,2.22,2.08,0.05,0.02,2.04,398,False
referral_signup,10,3.1,270,1.57,1.97,0.03,0.02,1.91,281,False
referral_bonus_credits_received,10,3.1,271,1.57,1.96,0.03,0.02,1.9,282,False
canvas_onboarding_tour_finished,10,3.1,293,1.7,1.81,0.03,0.02,1.58,342,False
canvas_onboarding_tour_running_blocks_step,10,3.1,300,1.74,1.77,0.03,0.02,1.47,368,False
canvas_onboarding_tour_you_are_ready_step,7,2.17,220,1.28,1.69,0.02,0.01,1.54,243,False
quickstart_explore_playground,10,3.1,324,1.88,1.64,0.03,0.02,1.42,381,False
canvas_onboarding_tour_ai_assistant_step,7,2.17,231,1.34,1.61,0.02,0.01,1.48,254,False
canvas_onboarding_tour_started,10,3.1,330,1.92,1.61,0.03,0.02,1.37,395,False
canvas_onboarding_tour_add_block_step,7,2.17,233,1.35,1.6,0.02,0.01,1.47,256,False
canvas_onboarding_tour_compute_step,7,2.17,235,1.36,1.58,0.02,0.01,1.44,261,False
canvas_onboarding_tour_code_and_variables_step,7,2.17,243,1.41,1.53,0.02,0.02,1.39,271,False
$pageleave,287,88.85,11406,66.24,1.34,12.55,1.59,7.9,31380,False
$groupidentify,301,93.19,13827,80.31,1.16,16.25,2.26,7.18,44200,False
$web_vitals,299,92.57,14204,82.5,1.12,53.77,6.3,8.53,125850,False
email_mobile_link_clicked,33,10.22,1589,9.23,1.11,0.11,0.1,1.1,1730,False
$identify,296,91.64,15442,89.69,1.02,3.5,1.39,2.52,25084,False
new_user_created,296,91.64,15679,91.06,1.01,0.92,0.91,1.01,15995,False
$create_alias,245,75.85,13068,75.9,1.0,0.76,0.76,1.01,13339,False
submit_onboarding_form,241,74.61,12844,74.6,1.0,0.75,0.75,1.0,13101,False
sign_up,267,82.66,14895,86.51,0.96,0.83,0.87,0.96,15187,False
skip_onboarding_form,142,43.96,8078,46.92,0.94,1.08,1.15,0.94,20153,False
add_user_Free_seat,0,0.0,1,0.01,0.63,0.0,0.0,0.95,1,False
agent_web_search,0,0.0,1,0.01,0.63,0.0,0.0,0.77,5,False
$delete_person_property,0,0.0,1,0.01,0.63,0.0,0.0,0.81,4,False
onboarding_completed,0,0.0,1,0.01,0.63,0.0,0.0,0.95,1,False
app_delete,0,0.0,1,0.01,0.63,0.0,0.0,0.95,1,False
hosted_apps_delete,0,0.0,1,0.01,0.63,0.0,0.0,0.9,2,False
agent_edge_created,0,0.0,1,0.01,0.63,0.0,0.0,0.81,4,False
new_user_organization_invite,0,0.0,2,0.01,0.46,0.0,0.0,0.63,10,False
signup_with_community_canvas,0,0.0,2,0.01,0.46,0.0,0.0,0.9,2,False
hosted_apps_undeploy,0,0.0,3,0.02,0.36,0.0,0.0,0.49,18,False
remove_user_Free_seat,0,0.0,3,0.02,0.36,0.0,0.0,0.85,3,False
hosted_apps_create,0,0.0,4,0.02,0.3,0.0,0.0,0.77,5,False
layer_duplicate,0,0.0,4,0.02,0.3,0.0,0.0,0.3,41,False
hosted_apps_deploy,0,0.0,4,0.02,0.3,0.0,0.0,0.32,37,False
agent_refactor_block,0,0.0,4,0.02,0.3,0.0,0.0,0.74,6,False
agent_block_run,0,0.0,4,0.02,0.3,0.0,0.0,0.18,81,False
signup_from_community_canvas,0,0.0,5,0.03,0.26,0.0,0.0,0.77,5,False
scheduled_job_start,0,0.0,7,0.04,0.2,0.0,0.02,0.05,325,False
scheduled_job_stop,0,0.0,8,0.05,0.18,0.0,0.02,0.05,320,False
hosted_apps_open,0,0.0,8,0.05,0.18,0.0,0.0,0.23,59,False
agent_block_created,0,0.0,8,0.05,0.18,0.0,0.06,0.02,1110,False
block_paste,0,0.0,8,0.05,0.18,0.0,0.01,0.15,99,False
agent_tool_call_add_constant_to_canvas_tool,0,0.0,10,0.06,0.15,0.0,0.0,0.32,37,False
